date,sku_id,category,units_sold,units_received,closing_stock,lead_time_days
2026-01-11,SKU-1001,Beverages,342.0,0,2019.0,5
2026-01-12,SKU-1001,Beverages,424.0,0,1595.0,5
2026-01-13,SKU-1001,Beverages,502.0,0,1093.0,5
2026-01-14,SKU-1001,Beverages,475.0,3066,3684.0,5
2026-01-15,SKU-1001,Beverages,479.0,0,3205.0,5
2026-01-16,SKU-1001,Beverages,511.0,0,2694.0,5
2026-01-17,SKU-1001,Beverages,436.0,0,2258.0,5
2026-01-18,SKU-1001,Beverages,379.0,0,1879.0,5
2026-01-19,SKU-1001,Beverages,479.0,2631,4031.0,5
2026-01-20,SKU-1001,Beverages,443.0,0,3588.0,5
2026-01-21,SKU-1001,Beverages,503.0,0,3085.0,5
2026-01-22,SKU-1001,Beverages,414.0,0,2671.0,5
2026-01-23,SKU-1001,Beverages,393.0,0,2278.0,5
2026-01-24,SKU-1001,Beverages,359.0,0,1919.0,5
2026-01-25,SKU-1001,Beverages,436.0,0,1483.0,5
2026-01-26,SKU-1001,Beverages,435.0,0,1048.0,5
2026-01-27,SKU-1001,Beverages,468.0,0,580.0,5
2026-01-28,SKU-1001,Beverages,501.0,0,79.0,5
2026-01-29,SKU-1001,Beverages,518.0,0,0.0,5
2026-01-30,SKU-1001,Beverages,403.0,0,0.0,5
2026-01-31,SKU-1001,Beverages,407.0,2562,2155.0,5
2026-02-01,SKU-1001,Beverages,135.0,0,2020.0,5
2026-02-02,SKU-1001,Beverages,471.0,0,1549.0,5
2026-02-03,SKU-1001,Beverages,366.0,2691,3874.0,5
2026-02-04,SKU-1001,Beverages,460.0,0,3414.0,5
2026-02-05,SKU-1001,Beverages,441.0,0,2973.0,5
2026-02-06,SKU-1001,Beverages,1068.0,0,1905.0,5
2026-02-07,SKU-1001,Beverages,446.0,0,1459.0,5
2026-02-08,SKU-1001,Beverages,507.0,3180,4132.0,5
2026-02-09,SKU-1001,Beverages,439.0,0,3693.0,5
2026-02-10,SKU-1001,Beverages,462.0,0,3231.0,5
2026-02-11,SKU-1001,Beverages,447.0,0,2784.0,5
2026-02-12,SKU-1001,Beverages,343.0,0,2441.0,5
2026-02-13,SKU-1001,Beverages,464.0,0,1977.0,5
2026-02-14,SKU-1001,Beverages,352.0,2366,3991.0,5
2026-02-15,SKU-1001,Beverages,382.0,0,3609.0,5
2026-02-16,SKU-1001,Beverages,745.0,0,2864.0,5
2026-02-17,SKU-1001,Beverages,416.0,0,2448.0,5
2026-02-18,SKU-1001,Beverages,455.0,0,1993.0,5
2026-02-19,SKU-1001,Beverages,442.0,0,1551.0,5
2026-02-20,SKU-1001,Beverages,381.0,2288,3458.0,5
2026-02-21,SKU-1001,Beverages,426.0,0,3032.0,5
2026-02-22,SKU-1001,Beverages,422.0,0,2610.0,5
2026-02-23,SKU-1001,Beverages,387.0,0,2223.0,5
2026-02-24,SKU-1001,Beverages,433.0,0,1790.0,5
2026-02-25,SKU-1001,Beverages,409.0,0,1381.0,5
2026-02-26,SKU-1001,Beverages,379.0,3148,4150.0,5
2026-02-27,SKU-1001,Beverages,401.0,0,3749.0,5
2026-02-28,SKU-1001,Beverages,391.0,0,3358.0,5
2026-03-01,SKU-1001,Beverages,460.0,0,2898.0,5
2026-03-02,SKU-1001,Beverages,412.0,0,2486.0,5
2026-03-03,SKU-1001,Beverages,445.0,0,2041.0,5
2026-03-04,SKU-1001,Beverages,399.0,0,1642.0,5
2026-03-05,SKU-1001,Beverages,114.0,0,1528.0,5
2026-03-06,SKU-1001,Beverages,,3198,4295.0,5
2026-03-07,SKU-1001,Beverages,439.0,0,3856.0,5
2026-03-08,SKU-1001,Beverages,387.0,0,3469.0,5
2026-03-09,SKU-1001,Beverages,437.0,0,3032.0,5
2026-03-10,SKU-1001,Beverages,437.0,0,2595.0,5
2026-03-11,SKU-1001,Beverages,409.0,0,2186.0,5
2026-03-12,SKU-1001,Beverages,412.0,0,1774.0,5
2026-03-13,SKU-1001,Beverages,522.0,2482,3734.0,5
2026-03-14,SKU-1001,Beverages,382.0,0,3352.0,5
2026-03-15,SKU-1001,Beverages,414.0,0,2938.0,5
2026-03-16,SKU-1001,Beverages,434.0,0,2504.0,5
2026-03-17,SKU-1001,Beverages,536.0,0,1968.0,5
2026-03-18,SKU-1001,Beverages,495.0,0,1473.0,5
2026-03-19,SKU-1001,Beverages,490.0,3237,4220.0,5
2026-03-20,SKU-1001,Beverages,371.0,0,3849.0,5
2026-03-21,SKU-1001,Beverages,395.0,0,3454.0,5
2026-03-22,SKU-1001,Beverages,457.0,0,2997.0,5
2026-03-23,SKU-1001,Beverages,478.0,0,2519.0,5
2026-03-24,SKU-1001,Beverages,496.0,0,2023.0,5
2026-03-25,SKU-1001,Beverages,474.0,0,1549.0,5
2026-03-26,SKU-1001,Beverages,448.0,0,1101.0,5
2026-03-27,SKU-1001,Beverages,447.0,0,654.0,5
2026-03-28,SKU-1001,Beverages,387.0,0,267.0,5
2026-03-29,SKU-1001,Beverages,398.0,0,0.0,5
2026-03-30,SKU-1001,Beverages,492.0,0,0.0,5
2026-03-31,SKU-1001,BEVERAGES,470.0,3149,2679.0,5
2026-04-01,SKU-1001,Beverages,498.0,0,2181.0,5
2026-04-02,SKU-1001,Beverages,452.0,0,1729.0,5
2026-04-03,SKU-1001,Beverages,,0,1328.0,5
2026-04-04,SKU-1001,Beverages,312.0,0,1016.0,5
2026-04-05,SKU-1001,Beverages,376.0,2520,3160.0,5
2026-04-06,SKU-1001,Beverages,466.0,0,2694.0,5
2026-04-07,SKU-1001,Beverages,380.0,0,2314.0,5
2026-04-08,SKU-1001,Beverages,416.0,0,1898.0,5
2026-04-09,SKU-1001,Beverages,443.0,0,1455.0,5
2026-04-10,SKU-1001,Beverages,389.0,0,1066.0,5
2026-04-11,SKU-1001,Beverages,445.0,2436,3057.0,5
2026-04-12,SKU-1001,Beverages,469.0,0,2588.0,5
2026-04-13,SKU-1001,Beverages,415.0,0,2173.0,5
2026-04-14,SKU-1001,Beverages,454.0,0,1719.0,5
2026-04-15,SKU-1001,Beverages,451.0,3090,4358.0,5
2026-04-16,SKU-1001,Beverages,401.0,0,3957.0,5
2026-04-17,SKU-1001,Beverages,510.0,0,3447.0,5
2026-04-18,SKU-1001,Beverages,436.0,0,3011.0,5
2026-04-19,SKU-1001,Beverages,428.0,0,2583.0,5
2026-04-20,SKU-1001,Beverages,477.0,0,2106.0,5
2026-04-21,SKU-1001,Beverages,498.0,2944,4552.0,5
2026-04-22,SKU-1001,Beverages,427.0,0,4125.0,5
2026-04-23,SKU-1001,Beverages,307.0,0,3818.0,5
2026-04-24,SKU-1001,Beverages,387.0,0,3431.0,5
2026-04-25,SKU-1001,Beverages,342.0,0,3089.0,5
2026-04-26,SKU-1001,Beverages,425.0,0,2664.0,5
2026-04-27,SKU-1001,Beverages,450.0,0,2214.0,5
2026-04-28,SKU-1001,Beverages,490.0,0,1724.0,5
2026-04-29,SKU-1001,Beverages,439.0,3101,4386.0,5
2026-04-30,SKU-1001,Beverages,468.0,0,3918.0,5
2026-05-01,SKU-1001,Beverages,393.0,0,3525.0,5
2026-05-02,SKU-1001,Beverages,119.0,0,3406.0,5
2026-05-03,SKU-1001,Beverages,415.0,0,2991.0,5
2026-05-04,SKU-1001,Beverages,436.0,0,2555.0,5
2026-05-05,SKU-1001,Beverages,447.0,0,2108.0,5
2026-05-06,SKU-1001,Beverages,476.0,0,1632.0,5
2026-05-07,SKU-1001,Beverages,455.0,0,1177.0,5
2026-05-08,SKU-1001,Beverages,435.0,0,742.0,5
2026-05-09,SKU-1001,Beverages,384.0,0,358.0,5
2026-05-10,SKU-1001,Beverages,412.0,0,0.0,5
2026-05-11,SKU-1001,Beverages,428.0,0,0.0,5
2026-05-12,SKU-1001,Beverages,375.0,0,0.0,5
2026-05-13,SKU-1001,Beverages,414.0,2285,1871.0,5
2026-05-14,SKU-1001,Beverages,441.0,3238,4668.0,5
2026-05-15,SKU-1001,Beverages,411.0,0,4257.0,5
2026-05-16,SKU-1001,Beverages,359.0,0,3898.0,5
2026-05-17,SKU-1001,Beverages,441.0,0,3457.0,5
2026-05-18,SKU-1001,Beverages,425.0,0,3032.0,5
2026-05-19,SKU-1001,Beverages,499.0,0,2533.0,5
2026-05-20,SKU-1001,Beverages,451.0,0,2082.0,5
2026-05-21,SKU-1001,Beverages,477.0,0,1605.0,5
2026-05-22,SKU-1001,Beverages,446.0,0,1159.0,5
2026-05-23,SKU-1001,Beverages,446.0,2947,3660.0,5
2026-05-24,SKU-1001,Beverages,425.0,0,3235.0,5
2026-05-25,SKU-1001,Beverages,404.0,0,2831.0,5
2026-05-26,SKU-1001,Beverages,459.0,0,2372.0,5
2026-05-27,SKU-1001,Beverages,454.0,0,1918.0,5
2026-05-28,SKU-1001,Beverages,446.0,2957,4429.0,5
2026-05-29,SKU-1001,Beverages,433.0,0,3996.0,5
2026-05-30,SKU-1001,Beverages,418.0,0,3578.0,5
2026-05-31,SKU-1001,Beverages,496.0,0,3082.0,5
2026-06-01,SKU-1001,Beverages,789.0,0,2293.0,5
2026-06-02,SKU-1001,Beverages,449.0,0,,5
2026-06-03,SKU-1001,Beverages,436.0,0,1408.0,5
2026-06-04,SKU-1001,Beverages,487.0,2893,3814.0,5
2026-06-05,SKU-1001,Beverages,442.0,0,3372.0,5
2026-06-06,SKU-1001,Beverages,466.0,0,2906.0,5
2026-06-07,SKU-1001,Beverages,420.0,0,2486.0,5
2026-06-08,SKU-1001,Beverages,437.0,0,2049.0,5
2026-06-09,SKU-1001,Beverages,498.0,0,1551.0,5
2026-06-10,SKU-1001,Beverages,437.0,0,1114.0,5
2026-06-11,SKU-1001,Beverages,427.0,0,687.0,5
2026-06-12,SKU-1001,Beverages,417.0,3288,3558.0,5
2026-06-13,SKU-1001,Beverages,478.0,0,3080.0,5
2026-06-14,SKU-1001,Beverages,429.0,0,2651.0,5
2026-06-15,SKU-1001,Beverages,392.0,0,2259.0,5
2026-06-16,SKU-1001,Beverages,475.0,0,1784.0,5
2026-06-17,SKU-1001,Beverages,492.0,0,1292.0,5
2026-06-18,SKU-1001,Beverages,383.0,0,909.0,5
2026-06-19,SKU-1001,Beverages,494.0,2845,3260.0,5
2026-06-20,SKU-1001,Beverages,453.0,0,2807.0,5
2026-06-21,SKU-1001,Beverages,457.0,0,2350.0,5
2026-06-22,SKU-1001,Beverages,410.0,0,1940.0,5
2026-06-23,SKU-1001,Beverages,430.0,3150,4660.0,5
2026-06-24,SKU-1001,Beverages,497.0,0,4163.0,5
2026-06-25,SKU-1001,Beverages,331.0,0,3832.0,5
2026-06-26,SKU-1001,Beverages,368.0,0,3464.0,5
2026-06-27,SKU-1001,Beverages,442.0,0,3022.0,5
2026-06-28,SKU-1001,Beverages,409.0,0,2613.0,5
2026-06-29,SKU-1001,Beverages,381.0,0,2232.0,5
2026-01-01,SKU-1002,Sugar,245.0,0,1722.0,3
2026-01-02,SKU-1002,Sugar,146.0,0,1576.0,3
2026-01-03,SKU-1002,Sugar,243.0,0,1333.0,3
2026-01-04,SKU-1002,Sugar,269.0,0,1064.0,3
2026-01-05,SKU-1002,Sugar,225.0,0,839.0,3
2026-01-06,SKU-1002,Sugar,222.0,0,617.0,3
2026-01-07,SKU-1002,Sugar,302.0,0,315.0,3
2026-01-08,SKU-1002,Sugar,466.0,0,0.0,3
2026-01-09,SKU-1002,Sugar,216.0,703,487.0,3
2026-01-10,SKU-1002,Sugar,153.0,0,334.0,3
2026-01-11,SKU-1002,Sugar,193.0,977,1118.0,3
2026-01-12,SKU-1002,Sugar,209.0,0,909.0,3
2026-01-13,SKU-1002,Sugar,416.0,0,493.0,3
2026-01-14,SKU-1002,Sugar,252.0,922,1163.0,3
2026-01-15,SKU-1002,Sugar,239.0,0,924.0,3
2026-01-16,SKU-1002,Sugar,237.0,0,687.0,3
2026-01-17,SKU-1002,Sugar,174.0,0,513.0,3
2026-01-18,SKU-1002,Sugar,194.0,755,1074.0,3
2026-01-19,SKU-1002,Sugar,234.0,0,840.0,3
2026-01-20,SKU-1002,Sugar,216.0,0,624.0,3
2026-01-21,SKU-1002,Sugar,234.0,874,1264.0,3
2026-01-22,SKU-1002,Sugar,260.0,0,1004.0,3
2026-01-23,SKU-1002,Sugar,252.0,0,752.0,3
2026-01-24,SKU-1002,Sugar,262.0,0,490.0,3
2026-01-25,SKU-1002,Sugar,199.0,0,291.0,3
2026-01-26,SKU-1002,Sugar,225.0,0,66.0,3
2026-01-27,SKU-1002,Sugar,188.0,0,0.0,3
2026-01-28,SKU-1002,Sugar,255.0,0,0.0,3
2026-01-29,SKU-1002,Sugar,228.0,0,0.0,3
2026-01-30,SKU-1002,Sugar,,818,561.0,3
2026-01-31,SKU-1002,Sugar,192.0,0,369.0,3
2026-02-01,SKU-1002,Sugar,198.0,0,171.0,3
2026-02-02,SKU-1002,Sugar,237.0,0,0.0,3
2026-02-03,SKU-1002,Sugar,230.0,0,0.0,3
2026-02-04,SKU-1002,Sugar,232.0,962,730.0,3
2026-02-05,SKU-1002,Sugar,257.0,0,473.0,3
2026-02-06,SKU-1002,Sugar,205.0,870,1138.0,3
2026-02-07,SKU-1002,Sugar,241.0,0,897.0,3
2026-02-08,SKU-1002,Sugar,229.0,0,668.0,3
2026-02-09,SKU-1002,Sugar,268.0,0,400.0,3
2026-02-10,SKU-1002,Sugar,219.0,0,181.0,3
2026-02-11,SKU-1002,Sugar,216.0,799,764.0,3
2026-02-12,SKU-1002,Sugar,226.0,0,538.0,3
2026-02-13,SKU-1002,Sugar,203.0,0,335.0,3
2026-02-14,SKU-1002,Sugar,188.0,0,147.0,3
2026-02-15,SKU-1002,Sugar,194.0,857,810.0,3
2026-02-16,SKU-1002,Sugar,212.0,0,598.0,3
2026-02-17,SKU-1002,Sugar,585.0,0,13.0,3
2026-02-18,SKU-1002,Sugar,280.0,0,0.0,3
2026-02-19,SKU-1002,Sugar,234.0,0,0.0,3
2026-02-20,SKU-1002,Sugar,260.0,0,0.0,3
2026-02-21,SKU-1002,Sugar,165.0,855,690.0,3
2026-02-22,SKU-1002,Sugar,182.0,784,1292.0,3
2026-02-23,SKU-1002,Sugar,259.0,0,1033.0,3
2026-02-24,SKU-1002,Sugar,183.0,0,850.0,3
2026-02-25,SKU-1002,Sugar,235.0,0,615.0,3
2026-02-26,SKU-1002,Sugar,222.0,0,393.0,3
2026-02-27,SKU-1002,Sugar,435.0,0,0.0,3
2026-02-28,SKU-1002,Sugar,185.0,0,0.0,3
2026-03-01,SKU-1002,Sugar,209.0,0,0.0,3
2026-03-02,SKU-1002,Sugar,228.0,0,0.0,3
2026-03-03,SKU-1002,Sugar,241.0,698,457.0,3
2026-03-04,SKU-1002,Sugar,235.0,828,1050.0,3
2026-03-05,SKU-1002,Sugar,206.0,0,844.0,3
2026-03-06,SKU-1002,Sugar,241.0,0,603.0,3
2026-03-07,SKU-1002,Sugar,198.0,0,405.0,3
2026-03-08,SKU-1002,Sugar,287.0,0,118.0,3
2026-03-09,SKU-1002,Sugar,261.0,0,0.0,3
2026-03-10,SKU-1002,Sugar,242.0,0,0.0,3
2026-03-11,SKU-1002,Sugar,242.0,0,0.0,3
2026-03-12,SKU-1002,Sugar,213.0,0,0.0,3
2026-03-13,SKU-1002,Sugar,239.0,0,0.0,3
2026-03-14,SKU-1002,Sugar,214.0,916,702.0,3
2026-03-15,SKU-1002,Sugar,,0,514.0,3
2026-03-16,SKU-1002,Sugar,46.0,0,468.0,3
2026-03-17,SKU-1002,Sugar,283.0,0,185.0,3
2026-03-18,SKU-1002,Sugar,243.0,0,0.0,3
2026-03-19,SKU-1002,Sugar,230.0,684,454.0,3
2026-03-20,SKU-1002,Sugar,208.0,0,246.0,3
2026-03-21,SKU-1002,Sugar,244.0,732,734.0,3
2026-03-22,SKU-1002,Sugar,238.0,0,496.0,3
