timestamp,machine_id,line,temperature_c,vibration_mm_s,run_hours_since_maintenance,failure_event
2026-01-05 21:00:00,MCH-200,Line A,71.19,0.545,118,0
2026-01-05 22:00:00,MCH-200,Line A,67.97,0.579,119,0
2026-01-05 23:00:00,MCH-200,Line A,69.02,0.642,120,0
2026-01-06 00:00:00,MCH-200,Line A,66.37,0.67,121,0
2026-01-06 01:00:00,MCH-200,Line A,69.01,0.615,122,0
2026-01-06 02:00:00,MCH-200,Line A,71.64,0.693,123,0
2026-01-06 03:00:00,MCH-200,Line A,67.23,0.558,124,0
2026-01-06 04:00:00,MCH-200,Line A,67.0,0.601,125,0
2026-01-06 05:00:00,MCH-200,Line A,71.38,0.551,126,0
2026-01-06 06:00:00,MCH-200,Line A,63.96,0.677,127,0
2026-01-06 07:00:00,MCH-200,Line A,70.27,0.627,128,0
2026-01-06 08:00:00,MCH-200,Line A,71.05,0.69,129,0
2026-01-06 09:00:00,MCH-200,Line A,70.97,0.671,130,0
2026-01-06 10:00:00,MCH-200,Line A,70.74,0.621,131,0
2026-01-06 11:00:00,MCH-200,Line A,71.03,0.672,132,0
2026-01-06 12:00:00,MCH-200,Line A,69.04,0.618,133,0
2026-01-06 13:00:00,MCH-200,Line A,72.22,0.593,134,0
2026-01-06 14:00:00,MCH-200,Line A,68.76,0.66,135,0
2026-01-06 15:00:00,MCH-200,Line A,68.88,,136,0
2026-01-06 16:00:00,MCH-200,Line A,68.93,0.624,137,0
2026-01-06 17:00:00,MCH-200,Line A,68.49,0.552,138,0
2026-01-06 18:00:00,MCH-200,Line A,70.14,0.737,139,0
2026-01-06 19:00:00,MCH-200,Line A,70.98,0.553,140,0
2026-01-06 20:00:00,MCH-200,Line A,68.73,0.592,141,0
2026-01-06 21:00:00,MCH-200,Line A,70.31,0.637,142,0
2026-01-06 22:00:00,MCH-200,Line A,70.49,0.674,143,0
2026-01-06 23:00:00,MCH-200,Line A,68.65,0.672,144,0
2026-01-07 00:00:00,MCH-200,Line A,70.88,0.56,145,0
2026-01-07 01:00:00,MCH-200,Line A,70.03,0.594,146,0
2026-01-07 02:00:00,MCH-200,Line A,69.33,0.647,147,0
2026-01-07 03:00:00,MCH-200,Line A,69.69,0.622,148,0
2026-01-07 04:00:00,MCH-200,Line A,71.52,0.593,149,0
2026-01-07 05:00:00,MCH-200,Line A,67.66,0.628,150,0
2026-01-07 06:00:00,MCH-200,Line A,72.14,0.601,151,0
2026-01-07 07:00:00,MCH-200,Line A,67.68,0.572,152,0
2026-01-07 08:00:00,MCH-200,Line A,68.17,0.7,153,0
2026-01-07 09:00:00,MCH-200,Line A,67.31,0.6,154,0
2026-01-07 10:00:00,MCH-200,Line A,70.86,0.694,155,0
2026-01-07 11:00:00,MCH-200,Line A,70.77,0.558,156,0
2026-01-07 12:00:00,MCH-200,Line A,69.55,0.568,157,0
2026-01-07 13:00:00,MCH-200,Line A,69.09,0.665,158,0
2026-01-07 14:00:00,MCH-200,Line A,70.74,0.656,159,0
2026-01-07 15:00:00,MCH-200,Line A,69.16,0.631,160,0
2026-01-07 16:00:00,MCH-200,Line A,70.19,0.595,161,0
2026-01-07 17:00:00,MCH-200,Line A,69.7,0.731,162,0
2026-01-07 18:00:00,MCH-200,Line A,68.95,0.683,163,0
2026-01-07 19:00:00,MCH-200,Line A,72.97,0.656,164,0
2026-01-07 20:00:00,MCH-200,Line A,71.6,0.542,165,0
2026-01-07 21:00:00,MCH-200,Line A,67.82,0.602,166,0
2026-01-07 22:00:00,MCH-200,Line A,69.76,0.703,167,0
2026-01-07 23:00:00,MCH-200,Line A,68.84,0.611,168,0
2026-01-08 00:00:00,MCH-200,Line A,67.37,0.629,169,0
2026-01-08 01:00:00,MCH-200,Line A,69.39,,170,0
2026-01-08 02:00:00,MCH-200,Line A,66.87,0.58,171,0
2026-01-08 03:00:00,MCH-200,Line A,67.41,0.576,172,0
2026-01-08 04:00:00,MCH-200,Line A,68.25,0.651,173,0
2026-01-08 05:00:00,MCH-200,Line A,68.24,0.639,174,0
2026-01-08 06:00:00,MCH-200,Line A,67.56,0.617,175,0
2026-01-08 07:00:00,MCH-200,Line A,73.4,0.627,176,0
2026-01-08 08:00:00,MCH-200,Line A,70.9,0.659,177,0
2026-01-08 09:00:00,MCH-200,Line A,68.92,0.6,178,0
2026-01-08 10:00:00,MCH-200,Line A,67.82,0.573,179,0
2026-01-08 11:00:00,MCH-200,Line A,70.05,0.612,180,0
2026-01-08 12:00:00,MCH-200,Line A,71.9,0.603,181,0
2026-01-08 13:00:00,MCH-200,Line A,69.07,0.618,182,0
2026-01-08 14:00:00,MCH-200,Line A,71.29,0.657,183,0
2026-01-08 15:00:00,MCH-200,Line A,69.83,0.648,184,0
2026-01-08 16:00:00,MCH-200,Line A,71.45,0.577,185,0
2026-01-08 17:00:00,MCH-200,Line A,68.71,0.62,186,0
2026-01-08 18:00:00,MCH-200,Line A,72.14,0.684,187,0
2026-01-08 19:00:00,MCH-200,Line A,70.5,0.683,188,0
2026-01-08 20:00:00,MCH-200,Line A,68.07,0.642,189,0
2026-01-08 21:00:00,MCH-200,Line A,66.11,0.65,190,0
2026-01-08 22:00:00,MCH-200,Line A,69.52,0.636,191,0
2026-01-08 23:00:00,MCH-200,Line A,69.72,0.65,192,0
2026-01-09 00:00:00,MCH-200,Line A,68.79,0.609,193,0
2026-01-09 01:00:00,MCH-200,Line A,71.03,0.677,194,0
2026-01-09 02:00:00,MCH-200,Line A,68.7,0.7,195,0
2026-01-09 03:00:00,MCH-200,Line A,69.35,0.686,196,0
2026-01-09 04:00:00,MCH-200,Line A,71.82,0.656,197,0
2026-01-09 05:00:00,MCH-200,Line A,68.94,0.636,198,0
2026-01-09 06:00:00,MCH-200,Line A,69.1,0.691,199,0
2026-01-09 07:00:00,MCH-200,Line A,67.07,0.647,200,0
2026-01-09 08:00:00,MCH-200,Line A,68.87,0.676,201,0
2026-01-09 09:00:00,MCH-200,Line A,70.83,0.657,202,0
2026-01-09 10:00:00,MCH-200,Line A,68.14,0.683,203,0
2026-01-09 11:00:00,MCH-200,Line A,66.42,0.63,204,0
2026-01-09 12:00:00,MCH-200,Line A,72.21,0.649,205,0
2026-01-09 13:00:00,MCH-200,Line A,67.52,0.631,206,0
2026-01-09 14:00:00,MCH-200,Line A,65.55,0.611,207,0
2026-01-09 15:00:00,MCH-200,Line A,67.14,0.592,208,0
2026-01-09 16:00:00,MCH-200,Line A,68.54,0.687,209,0
2026-01-09 17:00:00,MCH-200,Line A,70.68,0.598,210,0
2026-01-09 18:00:00,MCH-200,Line A,68.78,0.575,211,0
2026-01-09 19:00:00,MCH-200,Line A,68.86,0.667,212,0
2026-01-09 20:00:00,MCH-200,Line A,70.76,0.576,213,0
2026-01-09 21:00:00,MCH-200,Line A,70.4,0.633,214,0
2026-01-09 22:00:00,MCH-200,Line A,68.63,0.659,215,0
2026-01-09 23:00:00,MCH-200,Line A,68.96,0.55,216,0
2026-01-10 00:00:00,MCH-200,Line A,70.91,0.633,217,0
2026-01-10 01:00:00,MCH-200,Line A,71.24,0.682,218,0
2026-01-10 02:00:00,MCH-200,Line A,69.4,0.717,219,0
2026-01-10 03:00:00,MCH-200,Line A,71.48,0.721,220,0
2026-01-10 04:00:00,MCH-200,Line A,,0.721,221,0
2026-01-10 05:00:00,MCH-200,Line A,71.76,0.518,222,0
2026-01-10 06:00:00,MCH-200,Line A,67.08,0.633,223,0
2026-01-10 07:00:00,MCH-200,Line A,68.54,0.612,224,0
2026-01-10 08:00:00,MCH-200,Line A,68.38,0.623,225,0
2026-01-10 09:00:00,MCH-200,Line A,73.34,0.671,226,0
2026-01-10 10:00:00,MCH-200,Line A,66.63,0.647,227,0
2026-01-10 11:00:00,MCH-200,Line A,69.23,0.617,228,0
2026-01-10 12:00:00,MCH-200,Line A,71.04,0.769,229,0
2026-01-10 13:00:00,MCH-200,Line A,69.79,0.594,230,0
2026-01-10 14:00:00,MCH-200,Line A,69.77,0.583,231,0
2026-01-10 15:00:00,MCH-200,Line A,68.07,0.625,232,0
2026-01-10 16:00:00,MCH-200,Line A,72.47,0.695,233,0
2026-01-10 17:00:00,MCH-200,Line A,68.45,0.665,234,0
2026-01-10 18:00:00,MCH-200,Line A,67.28,0.61,235,0
2026-01-10 19:00:00,MCH-200,Line A,69.24,0.551,236,0
2026-01-10 20:00:00,MCH-200,Line A,69.58,0.591,237,0
2026-01-10 21:00:00,MCH-200,Line A,66.86,0.685,238,0
2026-01-10 22:00:00,MCH-200,Line A,72.79,0.637,239,0
2026-01-10 23:00:00,MCH-200,Line A,69.79,0.684,240,0
2026-01-11 00:00:00,MCH-200,Line A,68.7,0.661,241,0
2026-01-11 01:00:00,MCH-200,Line A,70.02,0.654,242,0
2026-01-11 02:00:00,MCH-200,Line A,68.59,0.688,243,0
2026-01-11 03:00:00,MCH-200,Line A,69.07,0.675,244,0
2026-01-11 04:00:00,MCH-200,Line A,70.64,0.588,245,0
2026-01-11 05:00:00,MCH-200,Line A,68.78,0.636,246,0
2026-01-11 06:00:00,MCH-200,Line A,71.42,0.579,247,0
2026-01-11 07:00:00,MCH-200,Line A,69.96,0.604,248,0
2026-01-11 08:00:00,MCH-200,Line A,69.61,0.602,249,0
2026-01-11 09:00:00,MCH-200,Line A,68.45,0.579,250,0
2026-01-11 10:00:00,MCH-200,Line A,70.69,0.618,251,0
2026-01-11 11:00:00,MCH-200,Line A,70.8,0.696,252,0
2026-01-11 12:00:00,MCH-200,Line A,69.48,0.646,253,0
2026-01-11 13:00:00,MCH-200,Line A,72.24,0.582,254,0
2026-01-11 14:00:00,MCH-200,Line A,70.43,0.636,255,0
2026-01-11 15:00:00,MCH-200,Line A,67.98,0.668,256,0
2026-01-11 16:00:00,MCH-200,Line A,68.8,0.684,257,0
2026-01-11 17:00:00,MCH-200,Line A,67.04,0.699,258,0
2026-01-11 18:00:00,MCH-200,Line A,69.26,0.615,259,0
2026-01-11 19:00:00,MCH-200,Line A,70.08,0.665,260,0
2026-01-11 20:00:00,MCH-200,Line A,67.97,0.642,261,0
2026-01-11 21:00:00,MCH-200,Line A,70.41,0.567,262,0
2026-01-11 22:00:00,MCH-200,Line A,70.49,0.612,263,0
2026-01-11 23:00:00,MCH-200,Line A,71.59,0.669,264,0
2026-01-12 00:00:00,MCH-200,Line A,68.44,0.662,265,0
2026-01-12 01:00:00,MCH-200,Line A,68.47,0.751,266,0
2026-01-12 02:00:00,MCH-200,Line A,66.54,0.699,267,0
2026-01-12 03:00:00,MCH-200,Line A,,0.699,268,0
2026-01-12 04:00:00,MCH-200,Line A,70.32,0.658,269,0
2026-01-12 05:00:00,MCH-200,Line A,,0.595,270,0
2026-01-12 06:00:00,MCH-200,Line A,68.91,0.664,271,0
2026-01-12 07:00:00,MCH-200,Line A,71.06,0.685,272,0
2026-01-12 08:00:00,MCH-200,Line A,71.72,0.686,273,0
2026-01-12 09:00:00,MCH-200,Line A,69.45,,274,0
2026-01-12 10:00:00,MCH-200,Line A,67.73,0.659,275,0
2026-01-12 11:00:00,MCH-200,Line A,71.16,0.73,276,0
2026-01-12 12:00:00,MCH-200,Line A,69.84,0.783,277,0
2026-01-12 13:00:00,MCH-200,Line A,69.81,0.641,278,0
2026-01-12 14:00:00,MCH-200,Line A,67.77,0.736,279,0
2026-01-12 15:00:00,MCH-200,Line A,70.79,0.576,280,0
2026-01-12 16:00:00,MCH-200,Line A,68.46,0.691,281,0
2026-01-12 17:00:00,MCH-200,Line A,69.74,0.679,282,0
2026-01-12 18:00:00,MCH-200,Line A,69.68,0.631,283,0
2026-01-12 19:00:00,MCH-200,Line A,69.45,0.618,284,0
2026-01-12 20:00:00,MCH-200,Line A,67.78,0.586,285,0
2026-01-12 21:00:00,MCH-200,Line A,,0.622,286,0
2026-01-12 22:00:00,MCH-200,Line A,70.39,0.651,287,0
2026-01-12 23:00:00,MCH-200,Line A,68.72,0.643,288,0
2026-01-13 00:00:00,MCH-200,Line A,68.8,0.642,289,0
2026-01-13 01:00:00,MCH-200,Line A,72.39,0.563,290,0
2026-01-13 02:00:00,MCH-200,Line A,71.39,0.7,291,0
2026-01-13 03:00:00,MCH-200,Line A,71.0,0.611,292,0
2026-01-13 04:00:00,MCH-200,Line A,68.44,0.669,293,0
2026-01-13 05:00:00,MCH-200,Line A,66.37,0.651,294,0
2026-01-13 06:00:00,MCH-200,Line A,70.87,0.568,295,0
2026-01-13 07:00:00,MCH-200,Line A,68.85,0.577,296,0
2026-01-13 08:00:00,MCH-200,Line A,68.04,0.703,297,0
2026-01-13 09:00:00,MCH-200,Line A,68.01,0.695,298,0
2026-01-13 10:00:00,MCH-200,Line A,69.54,0.698,299,0
2026-01-13 11:00:00,MCH-200,Line A,67.61,0.675,300,0
2026-01-13 12:00:00,MCH-200,Line A,70.25,0.668,301,0
2026-01-13 13:00:00,MCH-200,Line A,69.4,0.552,302,0
2026-01-13 14:00:00,MCH-200,Line A,68.0,0.633,303,0
2026-01-13 15:00:00,MCH-200,Line A,69.18,0.736,304,0
2026-01-13 16:00:00,MCH-200,Line A,67.94,0.67,305,0
2026-01-13 17:00:00,MCH-200,Line A,71.06,0.62,306,0
2026-01-13 18:00:00,MCH-200,Line A,67.3,0.768,307,0
2026-01-13 19:00:00,MCH-200,Line A,69.32,0.629,308,0
2026-01-13 20:00:00,MCH-200,Line A,67.89,0.673,309,0
2026-01-13 21:00:00,MCH-200,Line A,69.35,0.655,310,0
2026-01-13 22:00:00,MCH-200,Line A,68.81,0.636,311,0
2026-01-13 23:00:00,MCH-200,Line A,70.3,0.579,312,0
2026-01-14 00:00:00,MCH-200,Line A,68.19,0.62,313,0
2026-01-14 01:00:00,MCH-200,Line A,69.98,0.689,314,0
2026-01-14 02:00:00,MCH-200,Line A,71.49,0.642,315,0
2026-01-14 03:00:00,MCH-200,Line A,73.84,0.68,316,0
2026-01-14 04:00:00,MCH-200,Line A,69.68,0.535,317,0
2026-01-14 05:00:00,MCH-200,Line A,69.97,0.714,318,0
2026-01-14 06:00:00,MCH-200,Line A,71.29,0.657,319,0
2026-01-14 07:00:00,MCH-200,Line A,69.12,0.668,320,0
2026-01-14 08:00:00,MCH-200,Line A,70.39,0.606,321,0
2026-01-14 09:00:00,MCH-200,Line A,69.31,0.585,322,0
2026-01-14 10:00:00,MCH-200,Line A,67.6,0.658,323,0
2026-01-14 11:00:00,MCH-200,Line A,67.23,0.73,324,0
2026-01-14 12:00:00,MCH-200,Line A,72.15,0.725,325,0
2026-01-14 13:00:00,MCH-200,Line A,70.88,0.637,326,0
2026-01-14 14:00:00,MCH-200,Line A,67.74,0.701,327,0
2026-01-14 15:00:00,MCH-200,Line A,68.64,0.692,328,0
2026-01-14 16:00:00,MCH-200,Line A,70.97,0.642,329,0
2026-01-14 17:00:00,MCH-200,Line A,71.64,0.672,330,0
2026-01-14 18:00:00,MCH-200,Line A,68.4,0.732,331,0
2026-01-14 19:00:00,MCH-200,Line A,71.67,0.659,332,0
2026-01-14 20:00:00,MCH-200,Line A,71.93,0.649,333,0
2026-01-14 21:00:00,MCH-200,Line A,68.3,0.651,334,0
2026-01-14 22:00:00,MCH-200,Line A,70.61,0.638,335,0
2026-01-14 23:00:00,MCH-200,Line A,71.63,0.629,336,0
2026-01-15 00:00:00,MCH-200,Line A,69.41,0.668,337,0
2026-01-15 01:00:00,MCH-200,Line A,68.69,0.682,338,0
2026-01-15 02:00:00,MCH-200,Line A,69.48,0.668,339,0
2026-01-15 03:00:00,MCH-200,Line A,70.15,0.687,340,0
2026-01-15 04:00:00,MCH-200,Line A,68.88,0.688,341,0
2026-01-15 05:00:00,MCH-200,Line A,70.63,0.628,342,0
2026-01-15 06:00:00,MCH-200,Line A,71.41,0.727,343,0
2026-01-15 07:00:00,MCH-200,Line A,71.38,0.615,344,0
2026-01-15 08:00:00,MCH-200,Line A,69.17,0.737,345,0
2026-01-15 09:00:00,MCH-200,Line A,72.3,0.699,346,0
2026-01-15 10:00:00,MCH-200,Line A,69.11,0.646,347,0
2026-01-15 11:00:00,MCH-200,Line A,67.63,0.676,348,0
2026-01-15 12:00:00,MCH-200,Line A,69.38,0.69,349,0
2026-01-15 13:00:00,MCH-200,Line A,67.63,0.679,350,0
2026-01-15 14:00:00,MCH-200,Line A,67.01,0.639,351,0
2026-01-15 15:00:00,MCH-200,Line A,68.28,0.736,352,0
2026-01-15 16:00:00,MCH-200,Line A,69.74,0.721,353,0
2026-01-15 17:00:00,MCH-200,Line A,71.08,0.606,354,0
2026-01-15 18:00:00,MCH-200,Line A,70.51,0.774,355,0
2026-01-15 19:00:00,MCH-200,Line A,69.54,0.682,356,0
2026-01-15 20:00:00,MCH-200,Line A,69.82,0.618,357,0
2026-01-15 21:00:00,MCH-200,Line A,68.45,0.723,358,0
2026-01-15 22:00:00,MCH-200,Line A,65.32,0.615,359,0
2026-01-15 23:00:00,MCH-200,Line A,68.07,0.643,360,0
2026-01-16 00:00:00,MCH-200,Line A,67.11,0.693,361,0
2026-01-16 01:00:00,MCH-200,Line A,69.14,0.645,362,0
2026-01-16 02:00:00,MCH-200,Line A,68.62,0.705,363,0
2026-01-16 03:00:00,MCH-200,Line A,69.64,0.789,364,0
2026-01-16 04:00:00,MCH-200,Line A,70.86,0.621,365,0
2026-01-16 05:00:00,MCH-200,Line A,71.13,0.737,366,0
2026-01-16 06:00:00,MCH-200,Line A,69.11,0.642,367,0
2026-01-16 07:00:00,MCH-200,Line A,70.19,0.683,368,0
2026-01-16 08:00:00,MCH-200,Line A,70.21,0.674,369,0
2026-01-16 09:00:00,MCH-200,Line A,70.33,0.705,370,0
2026-01-16 10:00:00,MCH-200,Line A,71.52,0.626,371,0
2026-01-16 11:00:00,MCH-200,Line A,66.79,0.724,372,0
2026-01-16 12:00:00,MCH-200,Line A,70.07,0.6,373,0
2026-01-16 13:00:00,MCH-200,Line A,70.33,0.709,374,0
2026-01-16 14:00:00,MCH-200,Line A,67.85,0.699,375,0
2026-01-16 15:00:00,MCH-200,Line A,72.19,0.749,376,0
2026-01-16 16:00:00,MCH-200,Line A,73.22,0.726,377,0
2026-01-16 17:00:00,MCH-200,Line A,69.2,0.693,378,0
2026-01-16 18:00:00,MCH-200,Line A,71.12,0.547,379,0
2026-01-16 19:00:00,MCH-200,Line A,70.48,0.666,380,0
2026-01-16 20:00:00,MCH-200,Line A,72.17,0.648,381,0
2026-01-16 21:00:00,MCH-200,Line A,69.86,0.8,382,0
2026-01-16 22:00:00,MCH-200,Line A,67.84,0.725,383,0
2026-01-16 23:00:00,MCH-200,Line A,69.0,0.619,384,0
2026-01-17 00:00:00,MCH-200,Line A,69.19,0.606,385,0
2026-01-17 01:00:00,MCH-200,Line A,67.39,0.687,386,0
2026-01-17 02:00:00,MCH-200,Line A,70.57,0.625,387,0
2026-01-17 03:00:00,MCH-200,Line A,,0.579,388,0
2026-01-17 04:00:00,MCH-200,Line A,71.22,,389,0
2026-01-17 05:00:00,MCH-200,Line A,68.48,0.562,390,0
2026-01-17 06:00:00,MCH-200,Line A,68.84,0.625,391,0
2026-01-17 07:00:00,MCH-200,Line A,70.56,0.714,392,0
2026-01-17 08:00:00,MCH-200,Line A,69.46,0.701,393,0
2026-01-17 09:00:00,MCH-200,Line A,70.61,0.622,394,0
2026-01-17 10:00:00,MCH-200,Line A,70.61,0.545,395,0
2026-01-17 11:00:00,MCH-200,Line A,68.02,0.65,396,0
2026-01-17 12:00:00,MCH-200,Line A,70.1,0.721,397,0
2026-01-17 13:00:00,MCH-200,Line A,69.09,0.771,398,0
